src_mid,dst_mid,src_name,dst_name,mu (s),sigma (s),cv,betweenness,rank_betw,rank_cv,score
406,2424,Census Tract 601700,Census Tract 601700,30.8,73.1,2.3697,409654.0,0.9945,0.9975,0.992
499,2422,Census Tract 601501,Census Tract 601502,28.6,56.4,1.9736,437017.0,0.9965,0.9942,0.9907
405,2423,Census Tract 601600,Census Tract 601600,23.6,54.4,2.3004,371982.0,0.9924,0.9974,0.9898
1501,1502,Census Tract 241202,Census Tract 241300,46.5,91.8,1.9733,393895.0,0.9937,0.9941,0.9878
1490,1500,Census Tract 240402,Census Tract 241201,26.6,42.2,1.5858,478118.0,0.9991,0.9853,0.9844
171,616,Census Tract 572301,Census Tract 572301,98.6,195.9,1.9865,288705.0,0.9887,0.9946,0.9833
1469,1470,Census Tract 238310,Census Tract 238320,29.1,43.3,1.4883,480196.0,0.9995,0.9816,0.9811
405,2424,Census Tract 601600,Census Tract 601700,55.9,90.1,1.6126,405566.0,0.9941,0.9866,0.9807
1462,1463,Census Tract 237710,Census Tract 237720,24.7,35.7,1.4456,470057.0,0.9981,0.979,0.9771
1797,1798,Census Tract 542104,Census Tract 542106,20.0,40.8,2.0439,156966.0,0.9801,0.9961,0.9764
1463,1469,Census Tract 237720,Census Tract 238310,20.3,27.1,1.336,482062.0,0.9999,0.9716,0.9715
2422,2423,Census Tract 601502,Census Tract 601600,36.9,53.2,1.441,375579.0,0.9925,0.9785,0.9711
616,618,Census Tract 572301,Census Tract 572400,95.4,139.1,1.4586,284901.0,0.9884,0.9801,0.9688
1539,1680,Census Tract 265410,Census Tract 701100,56.5,79.4,1.4044,319114.0,0.9902,0.9756,0.9661
1913,2288,Census Tract 482522,Census Tract 482402,45.4,61.9,1.3623,359911.0,0.9919,0.9738,0.9659
1382,1385,Census Tract 224200,Census Tract 224410,50.8,82.2,1.62,147996.0,0.9783,0.9872,0.9658
498,499,Census Tract 601402,Census Tract 601501,51.5,67.9,1.317,435882.0,0.9963,0.9693,0.9657
172,1688,Census Tract 980002,Census Tract 980014,49.3,80.3,1.6293,126991.0,0.9752,0.9876,0.9632
1502,1625,Census Tract 241300,Census Tract 291110,59.6,75.2,1.2611,490446.0,1.0,0.9626,0.9626
1502,1503,Census Tract 241300,Census Tract 241400,94.2,145.8,1.5488,143201.0,0.9779,0.984,0.9623
