src_mid,dst_mid,src_name,dst_name,mu (s),sigma (s),cv,betweenness,rank_betw,rank_cv,score
406,2424,Census Tract 601700,Census Tract 601700,30.3,66.5,2.1937,408763.0,0.9945,0.9985,0.9929
405,2423,Census Tract 601600,Census Tract 601600,23.5,51.4,2.1899,371817.0,0.9923,0.9983,0.9906
1501,1502,Census Tract 241202,Census Tract 241300,48.9,94.3,1.9304,383095.0,0.9929,0.9969,0.9898
171,616,Census Tract 572301,Census Tract 572301,81.5,135.2,1.6589,313474.5,0.9906,0.9928,0.9834
499,2422,Census Tract 601501,Census Tract 601502,28.3,40.7,1.4366,438499.0,0.9966,0.9854,0.9821
1490,1500,Census Tract 240402,Census Tract 241201,26.8,37.3,1.3893,463148.0,0.9988,0.9831,0.982
1469,1470,Census Tract 238310,Census Tract 238320,30.0,41.7,1.3879,463699.0,0.999,0.9827,0.9817
405,2424,Census Tract 601600,Census Tract 601700,55.4,82.2,1.4848,405010.0,0.9941,0.9872,0.9814
1797,1798,Census Tract 542104,Census Tract 542106,19.5,41.0,2.1021,157244.0,0.9798,0.9981,0.9779
2518,2599,Census Tract 110401,Census Tract 110401,10.2,64.8,6.3684,140243.5,0.9774,1.0,0.9774
1502,1625,Census Tract 241300,Census Tract 291110,58.9,77.4,1.3131,503918.0,1.0,0.9767,0.9767
1462,1463,Census Tract 237710,Census Tract 237720,24.9,32.4,1.2994,454071.0,0.9981,0.9751,0.9732
1496,1503,Census Tract 241001,Census Tract 241400,74.0,108.9,1.4717,202081.0,0.984,0.9867,0.9709
1913,2288,Census Tract 482522,Census Tract 482402,44.9,60.0,1.3365,360174.0,0.9919,0.9787,0.9708
1814,1845,Census Tract 460800,Census Tract 463800,61.9,106.9,1.7258,121926.0,0.9733,0.9938,0.9673
1382,1385,Census Tract 224200,Census Tract 224410,55.9,84.6,1.5124,142338.0,0.978,0.9888,0.967
1170,1171,Census Tract 197600,Census Tract 197700,81.2,110.6,1.3629,235369.0,0.9857,0.9805,0.9665
1502,1503,Census Tract 241300,Census Tract 241400,96.2,151.7,1.5767,122168.0,0.9736,0.991,0.9648
1170,1235,Census Tract 197600,Census Tract 208000,80.3,106.5,1.3272,239635.0,0.9863,0.978,0.9646
1463,1469,Census Tract 237720,Census Tract 238310,20.8,24.9,1.1988,465537.0,0.9991,0.9648,0.9639
