src_mid,dst_mid,src_name,dst_name,mu (s),sigma (s),cv,betweenness,rank_betw,rank_cv,score
406,2424,Census Tract 601700,Census Tract 601700,29.9,65.4,2.1892,416635.0,0.9942,0.9972,0.9914
405,2423,Census Tract 601600,Census Tract 601600,23.9,53.2,2.2275,377491.0,0.9921,0.9974,0.9896
499,2422,Census Tract 601501,Census Tract 601502,28.7,50.5,1.7598,443298.0,0.9964,0.9925,0.989
1501,1502,Census Tract 241202,Census Tract 241300,47.9,91.0,1.8994,399938.0,0.9934,0.9947,0.9882
171,616,Census Tract 572301,Census Tract 572301,91.9,163.9,1.7843,303524.0,0.9897,0.9929,0.9827
405,2424,Census Tract 601600,Census Tract 601700,55.6,86.4,1.5532,413941.0,0.9939,0.9875,0.9815
1797,1798,Census Tract 542104,Census Tract 542106,20.7,42.0,2.0297,150264.0,0.9795,0.9958,0.9754
1490,1500,Census Tract 240402,Census Tract 241201,26.7,35.8,1.3391,477450.0,0.9986,0.9759,0.9745
1469,1470,Census Tract 238310,Census Tract 238320,29.7,39.5,1.3299,482916.0,0.9991,0.9744,0.9735
1502,1625,Census Tract 241300,Census Tract 291110,59.3,77.2,1.3034,507459.0,1.0,0.9714,0.9714
1913,2288,Census Tract 482522,Census Tract 482402,43.0,59.3,1.3781,385489.0,0.9925,0.9782,0.9709
1539,1680,Census Tract 265410,Census Tract 701100,57.7,80.8,1.3999,318384.0,0.9906,0.9797,0.9704
1814,1845,Census Tract 460800,Census Tract 463800,63.0,111.6,1.7718,124716.0,0.9736,0.9927,0.9665
914,917,Census Tract 127603,Census Tract 127606,46.5,69.3,1.4899,160759.0,0.9808,0.9847,0.9658
1462,1463,Census Tract 237710,Census Tract 237720,25.2,31.4,1.2471,483497.0,0.9994,0.9652,0.9646
1502,1503,Census Tract 241300,Census Tract 241400,96.3,143.0,1.4842,136121.0,0.9768,0.9843,0.9615
2596,2598,Census Tract 086701,Census Tract 086802,47.9,220.5,4.6062,86145.0,0.9607,0.9999,0.9606
1382,1385,Census Tract 224200,Census Tract 224410,56.6,80.2,1.416,136493.0,0.9771,0.9812,0.9587
1463,1469,Census Tract 237720,Census Tract 238310,20.9,25.1,1.2009,483483.0,0.9992,0.959,0.9583
2518,2599,Census Tract 110401,Census Tract 110401,9.2,54.6,5.9005,80395.0,0.9578,1.0,0.9578
